Statistics Summary
G-49,Team 03,5,2,3,4.04,5
G-49,Team 04,5,2,3,4.06,5
G-49,Team 05,5,2,3,4.11,5
G-49,Team 06,5,2,3,4.06,5
G-49,Team 07,5,2,3,4.11,5
G-49,Team 08,5,2,3,4.09,5
G-49,Team 09,5,2,3,4.12,5
G-49,Team 10,5,2,3,4.11,5

Overall Statistics for G-49
Total Students,50
Total Males,21
Total Females,29
Average GPA,4.08
Min GPA,4.04
Max GPA,4.12
Average GPA Deviation,0.025

G-50,Team 01,5,3,2,4.13,5
G-50,Team 02,5,3,2,4.25,5
G-50,Team 03,5,3,2,4.13,4
G-50,Team 04,5,3,2,4.12,5
G-50,Team 05,5,3,2,4.13,5
G-50,Team 06,5,3,2,4.12,5
G-50,Team 07,5,3,2,4.09,5
G-50,Team 08,5,2,3,3.97,5
G-50,Team 09,5,2,3,4.04,5
G-50,Team 10,5,2,3,4.12,4

Overall Statistics for G-50
Total Students,50
Total Males,27
Total Females,23
Average GPA,4.11
Min GPA,3.97
Max GPA,4.25
Average GPA Deviation,0.045

G-51,Team 01,5,2,3,4.03,5
G-51,Team 02,5,2,3,4.14,5
G-51,Team 03,5,2,3,4.20,5
G-51,Team 04,5,2,3,4.09,4
G-51,Team 05,5,2,3,4.04,5
G-51,Team 06,5,2,3,4.12,5
G-51,Team 07,5,2,3,4.03,5
G-51,Team 08,5,2,3,4.11,4
G-51,Team 09,5,2,3,4.20,4
G-51,Team 10,5,2,3,4.07,4

Overall Statistics for G-51
Total Students,50
Total Males,20
Total Females,30
Average GPA,4.10
Min GPA,4.03
Max GPA,4.20
Average GPA Deviation,0.051

G-52,Team 01,5,2,3,4.05,5
G-52,Team 02,5,2,3,4.10,5
G-52,Team 03,5,2,3,4.04,5
G-52,Team 04,5,2,3,4.06,4
G-52,Team 05,5,2,3,4.02,4
G-52,Team 06,5,2,3,4.13,5
G-52,Team 07,5,2,3,4.13,5
G-52,Team 08,5,2,3,4.10,5
G-52,Team 09,5,2,3,3.98,5
G-52,Team 10,5,2,3,4.07,5

Overall Statistics for G-52
Total Students,50
Total Males,20
Total Females,30
Average GPA,4.07
Min GPA,3.98
Max GPA,4.13
Average GPA Deviation,0.037

G-53,Team 01,5,3,2,4.11,5
G-53,Team 02,5,3,2,4.06,5
G-53,Team 03,5,3,2,4.08,5
G-53,Team 04,5,2,3,4.07,5
G-53,Team 05,5,2,3,4.09,5
G-53,Team 06,5,2,3,4.01,4
G-53,Team 07,5,2,3,4.05,4
G-53,Team 08,5,2,3,4.14,4
G-53,Team 09,5,2,3,4.07,5
G-53,Team 10,5,2,3,4.07,5

Overall Statistics for G-53
Total Students,50
Total Males,23
Total Females,27
Average GPA,4.08
Min GPA,4.01
Max GPA,4.14
Average GPA Deviation,0.023

G-54,Team 01,5,2,3,4.10,5
G-54,Team 02,5,2,3,4.08,5
G-54,Team 03,5,2,3,4.08,5
G-54,Team 04,5,2,3,4.07,5
G-54,Team 05,5,2,3,4.14,5
G-54,Team 06,5,2,3,4.20,5
G-54,Team 07,5,2,3,4.20,4
G-54,Team 08,5,2,3,4.07,5
G-54,Team 09,5,2,3,4.18,5
G-54,Team 10,5,2,3,4.04,4

Overall Statistics for G-54
Total Students,50
Total Males,20
Total Females,30
Average GPA,4.12
Min GPA,4.04
Max GPA,4.20
Average GPA Deviation,0.051

G-55,Team 01,5,3,2,4.14,5
G-55,Team 02,5,3,2,4.04,5
G-55,Team 03,5,3,2,4.12,5
G-55,Team 04,5,3,2,4.08,5
G-55,Team 05,5,3,2,4.09,5
G-55,Team 06,5,3,2,4.10,4
G-55,Team 07,5,3,2,4.14,4
G-55,Team 08,5,3,2,4.06,4
G-55,Team 09,5,2,3,4.10,4
G-55,Team 10,5,2,3,4.05,4

Overall Statistics for G-55
Total Students,50
Total Males,28
Total Females,22
Average GPA,4.09
Min GPA,4.04
Max GPA,4.14
Average GPA Deviation,0.028

G-56,Team 01,5,2,3,4.07,4
G-56,Team 02,5,2,3,4.08,4
G-56,Team 03,5,2,3,4.06,5
G-56,Team 04,5,2,3,4.02,5
G-56,Team 05,5,2,3,4.02,5
G-56,Team 06,5,2,3,4.10,5
G-56,Team 07,5,2,3,4.10,5
G-56,Team 08,5,2,3,4.08,5
G-56,Team 09,5,2,3,4.04,5
G-56,Team 10,5,1,4,4.08,5

Overall Statistics for G-56
Total Students,50
Total Males,19
Total Females,31
Average GPA,4.07
Min GPA,4.02
Max GPA,4.10
Average GPA Deviation,0.025

G-57,Team 01,5,3,2,4.02,5
G-57,Team 02,5,2,3,4.00,5
G-57,Team 03,5,2,3,4.06,4
G-57,Team 04,5,2,3,4.05,5
G-57,Team 05,5,2,3,4.05,5
G-57,Team 06,5,2,3,4.08,5
G-57,Team 07,5,2,3,4.07,5
G-57,Team 08,5,2,3,4.09,5
G-57,Team 09,5,2,3,4.05,5
G-57,Team 10,5,2,3,4.07,5

Overall Statistics for G-57
Total Students,50
Total Males,21
Total Females,29
Average GPA,4.05
Min GPA,4.00
Max GPA,4.09
Average GPA Deviation,0.020

G-58,Team 01,5,3,2,4.09,5
G-58,Team 02,5,2,3,4.07,5
G-58,Team 03,5,2,3,4.12,5
G-58,Team 04,5,2,3,4.12,5
G-58,Team 05,5,2,3,4.02,5
G-58,Team 06,5,2,3,4.15,5
G-58,Team 07,5,2,3,4.21,4
G-58,Team 08,5,2,3,4.09,5
G-58,Team 09,5,2,3,4.06,5
G-58,Team 10,5,2,3,4.14,5

Overall Statistics for G-58
Total Students,50
Total Males,21
Total Females,29
Average GPA,4.11
Min GPA,4.02
Max GPA,4.21
Average GPA Deviation,0.042

G-59,Team 01,5,3,2,3.98,4
G-59,Team 02,5,2,3,4.04,4
G-59,Team 03,5,2,3,4.05,4
G-59,Team 04,5,2,3,4.07,4
G-59,Team 05,5,2,3,4.00,4
G-59,Team 06,5,2,3,4.28,5
G-59,Team 07,5,2,3,4.09,5
G-59,Team 08,5,2,3,4.04,5
G-59,Team 09,5,2,3,4.11,5
G-59,Team 10,5,2,3,4.08,5

Overall Statistics for G-59
Total Students,50
Total Males,21
Total Females,29
Average GPA,4.07
Min GPA,3.98
Max GPA,4.28
Average GPA Deviation,0.052

G-60,Team 01,5,3,2,4.08,5
G-60,Team 02,5,3,2,4.09,5
G-60,Team 03,5,3,2,4.12,5
G-60,Team 04,5,2,3,4.13,4
G-60,Team 05,5,2,3,4.14,5
G-60,Team 06,5,2,3,3.99,5
G-60,Team 07,5,2,3,4.08,5
G-60,Team 08,5,2,3,4.05,4
G-60,Team 09,5,2,3,4.13,5
G-60,Team 10,5,2,3,4.20,5

Overall Statistics for G-60
Total Students,50
Total Males,23
Total Females,27
Average GPA,4.10
Min GPA,3.99
Max GPA,4.20
Average GPA Deviation,0.044

G-61,Team 01,5,3,2,4.08,5
G-61,Team 02,5,2,3,4.06,4
G-61,Team 03,5,2,3,4.10,4
G-61,Team 04,5,2,3,4.08,5
G-61,Team 05,5,2,3,4.05,5
G-61,Team 06,5,2,3,4.13,5
G-61,Team 07,5,2,3,4.05,5
G-61,Team 08,5,2,3,4.06,5
G-61,Team 09,5,2,3,4.08,5
G-61,Team 10,5,2,3,4.04,5

Overall Statistics for G-61
Total Students,50
Total Males,21
Total Females,29
Average GPA,4.07
Min GPA,4.04
Max GPA,4.13
Average GPA Deviation,0.021

G-62,Team 01,5,3,2,4.07,5
G-62,Team 02,5,3,2,4.00,5
G-62,Team 03,5,3,2,4.07,5
G-62,Team 04,5,3,2,4.09,5
G-62,Team 05,5,3,2,4.01,5
G-62,Team 06,5,2,3,4.05,4
G-62,Team 07,5,2,3,4.09,4
G-62,Team 08,5,2,3,4.09,5
G-62,Team 09,5,2,3,4.14,5
G-62,Team 10,5,2,3,4.02,5

Overall Statistics for G-62
Total Students,50
Total Males,25
Total Females,25
Average GPA,4.06
Min GPA,4.00
Max GPA,4.14
Average GPA Deviation,0.033

G-63,Team 01,5,3,2,4.08,5
G-63,Team 02,5,3,2,4.07,5
G-63,Team 03,5,3,2,4.07,5
G-63,Team 04,5,3,2,4.14,4
G-63,Team 05,5,3,2,4.07,4
G-63,Team 06,5,2,3,4.11,5
G-63,Team 07,5,2,3,4.02,4
G-63,Team 08,5,2,3,4.13,5
G-63,Team 09,5,2,3,3.99,5
G-63,Team 10,5,2,3,4.08,5

Overall Statistics for G-63
Total Students,50
Total Males,25
Total Females,25
Average GPA,4.08
Min GPA,3.99
Max GPA,4.14
Average GPA Deviation,0.031

G-64,Team 01,5,3,2,4.06,5
G-64,Team 02,5,3,2,4.12,5
G-64,Team 03,5,3,2,4.12,5
G-64,Team 04,5,3,2,4.17,5
G-64,Team 05,5,3,2,4.10,5
G-64,Team 06,5,3,2,4.14,5
G-64,Team 07,5,2,3,4.01,5
G-64,Team 08,5,2,3,4.08,5
G-64,Team 09,5,2,3,4.15,5
G-64,Team 10,5,2,3,4.01,5

Overall Statistics for G-64
Total Students,50
Total Males,26
Total Females,24
Average GPA,4.10
Min GPA,4.01
Max GPA,4.17
Average GPA Deviation,0.044

G-65,Team 01,5,3,2,4.08,5
G-65,Team 02,5,3,2,4.04,5
G-65,Team 03,5,2,3,4.05,5
G-65,Team 04,5,2,3,4.15,5
G-65,Team 05,5,2,3,4.07,4
G-65,Team 06,5,2,3,4.12,5
G-65,Team 07,5,2,3,4.12,4
G-65,Team 08,5,2,3,4.06,5
G-65,Team 09,5,2,3,4.13,5
G-65,Team 10,5,2,3,4.09,5

Overall Statistics for G-65
Total Students,50
Total Males,22
Total Females,28
Average GPA,4.09
Min GPA,4.04
Max GPA,4.15
Average GPA Deviation,0.031

G-66,Team 01,5,3,2,4.10,5
G-66,Team 02,5,3,2,4.04,5
G-66,Team 03,5,3,2,4.15,5
G-66,Team 04,5,3,2,4.12,5
G-66,Team 05,5,3,2,4.10,5
G-66,Team 06,5,3,2,4.14,5
G-66,Team 07,5,2,3,4.00,5
G-66,Team 08,5,2,3,4.12,5
G-66,Team 09,5,2,3,4.15,5
G-66,Team 10,5,2,3,4.16,5

Overall Statistics for G-66
Total Students,50
Total Males,26
Total Females,24
Average GPA,4.11
Min GPA,4.00
Max GPA,4.16
Average GPA Deviation,0.038

G-67,Team 01,5,3,2,4.09,5
G-67,Team 02,5,3,2,4.08,5
G-67,Team 03,5,2,3,4.14,5
G-67,Team 04,5,2,3,4.15,5
G-67,Team 05,5,2,3,4.09,4
G-67,Team 06,5,2,3,4.00,5
G-67,Team 07,5,2,3,4.05,5
G-67,Team 08,5,2,3,4.07,5
G-67,Team 09,5,2,3,4.13,5
G-67,Team 10,5,2,3,4.10,5

Overall Statistics for G-67
Total Students,50
Total Males,22
Total Females,28
Average GPA,4.09
Min GPA,4.00
Max GPA,4.15
Average GPA Deviation,0.031

G-68,Team 01,5,3,2,4.08,5
G-68,Team 02,5,3,2,4.08,5
G-68,Team 03,5,2,3,4.08,5
G-68,Team 04,5,2,3,4.04,5
G-68,Team 05,5,2,3,4.12,5
G-68,Team 06,5,2,3,4.09,5
G-68,Team 07,5,2,3,4.14,5
G-68,Team 08,5,2,3,4.09,5
G-68,Team 09,5,2,3,4.04,4
G-68,Team 10,5,2,3,4.00,4

Overall Statistics for G-68
Total Students,50
Total Males,22
Total Females,28
Average GPA,4.08
Min GPA,4.00
Max GPA,4.14
Average GPA Deviation,0.029

G-69,Team 01,5,3,2,4.12,5
G-69,Team 02,5,3,2,4.05,5
G-69,Team 03,5,3,2,4.11,5
G-69,Team 04,5,3,2,4.11,5
G-69,Team 05,5,3,2,4.12,5
G-69,Team 06,5,2,3,4.07,5
G-69,Team 07,5,2,3,4.12,5
G-69,Team 08,5,2,3,4.11,5
G-69,Team 09,5,2,3,4.16,5
G-69,Team 10,5,2,3,4.12,5

Overall Statistics for G-69
Total Students,50
Total Males,25
Total Females,25
Average GPA,4.11
Min GPA,4.05
Max GPA,4.16
Average GPA Deviation,0.020

G-70,Team 01,5,2,3,4.07,5
G-70,Team 02,5,1,4,4.11,5
G-70,Team 03,5,1,4,4.07,5
G-70,Team 04,5,2,3,4.11,4
G-70,Team 05,5,2,3,4.10,5
G-70,Team 06,5,2,3,4.06,5
G-70,Team 07,5,2,3,4.08,5
G-70,Team 08,5,2,3,4.06,5
G-70,Team 09,5,2,3,4.14,5
G-70,Team 10,5,2,3,4.14,5

Overall Statistics for G-70
Total Students,50
Total Males,18
Total Females,32
Average GPA,4.09
Min GPA,4.06
Max GPA,4.14
Average GPA Deviation,0.026

G-71,Team 01,5,2,3,4.08,5
G-71,Team 02,5,2,3,4.11,5
G-71,Team 03,5,2,3,4.12,5
G-71,Team 04,5,2,3,4.10,5
G-71,Team 05,5,2,3,4.07,5
G-71,Team 06,5,2,3,4.08,4
G-71,Team 07,5,2,3,4.06,4
G-71,Team 08,5,2,3,4.14,5
G-71,Team 09,5,2,3,4.04,5
G-71,Team 10,5,1,4,4.22,5

Overall Statistics for G-71
Total Students,50
Total Males,19
Total Females,31
Average GPA,4.10
Min GPA,4.04
Max GPA,4.22
Average GPA Deviation,0.036

G-72,Team 01,5,3,2,4.12,5
G-72,Team 02,5,3,2,4.11,4
G-72,Team 03,5,3,2,4.10,5
G-72,Team 04,5,3,2,4.07,5
G-72,Team 05,5,3,2,4.17,4
G-72,Team 06,5,3,2,4.13,5
G-72,Team 07,5,3,2,4.05,5
G-72,Team 08,5,3,2,4.08,5
G-72,Team 09,5,2,3,4.12,5
G-72,Team 10,5,2,3,4.08,5

Overall Statistics for G-72
Total Students,50
Total Males,28
Total Females,22
Average GPA,4.10
Min GPA,4.05
Max GPA,4.17
Average GPA Deviation,0.028

G-73,Team 01,5,2,3,4.10,5
G-73,Team 02,5,2,3,4.08,5
G-73,Team 03,5,2,3,4.12,5
G-73,Team 04,5,2,3,4.17,4
G-73,Team 05,5,2,3,4.06,4
G-73,Team 06,5,2,3,4.07,5
G-73,Team 07,5,2,3,4.04,5
G-73,Team 08,5,2,3,4.12,5
G-73,Team 09,5,2,3,4.09,5
G-73,Team 10,5,2,3,4.02,5

Overall Statistics for G-73
Total Students,50
Total Males,20
Total Females,30
Average GPA,4.09
Min GPA,4.02
Max GPA,4.17
Average GPA Deviation,0.032

G-74,Team 01,5,3,2,4.13,4
G-74,Team 02,5,3,2,4.14,4
G-74,Team 03,5,3,2,4.06,5
G-74,Team 04,5,3,2,3.98,5
G-74,Team 05,5,2,3,4.07,5
G-74,Team 06,5,2,3,4.03,5
G-74,Team 07,5,2,3,4.11,4
G-74,Team 08,5,2,3,4.07,5
G-74,Team 09,5,2,3,4.14,5
G-74,Team 10,5,2,3,4.09,5

Overall Statistics for G-74
Total Students,50
Total Males,24
Total Females,26
Average GPA,4.08
Min GPA,3.98
Max GPA,4.14
Average GPA Deviation,0.039

G-75,Team 01,5,3,2,4.06,5
G-75,Team 02,5,3,2,4.11,5
G-75,Team 03,5,3,2,4.00,5
G-75,Team 04,5,2,3,4.11,5
G-75,Team 05,5,2,3,4.18,5
G-75,Team 06,5,2,3,4.04,5
G-75,Team 07,5,2,3,4.01,3
G-75,Team 08,5,2,3,4.01,5
G-75,Team 09,5,2,3,4.10,5
G-75,Team 10,5,2,3,4.21,5

Overall Statistics for G-75
Total Students,50
Total Males,23
Total Females,27
Average GPA,4.08
Min GPA,4.00
Max GPA,4.21
Average GPA Deviation,0.058

G-76,Team 01,5,3,2,4.08,5
G-76,Team 02,5,3,2,4.08,5
G-76,Team 03,5,2,3,4.06,5
G-76,Team 04,5,2,3,4.09,4
G-76,Team 05,5,2,3,4.11,5
G-76,Team 06,5,2,3,4.08,5
G-76,Team 07,5,2,3,4.12,5
G-76,Team 08,5,2,3,4.10,5
G-76,Team 09,5,2,3,4.11,5
G-76,Team 10,5,2,3,4.15,5

Overall Statistics for G-76
Total Students,50
Total Males,22
Total Females,28
Average GPA,4.10
Min GPA,4.06
Max GPA,4.15
Average GPA Deviation,0.020

G-77,Team 01,5,2,3,4.12,5
G-77,Team 02,5,2,3,4.09,5
G-77,Team 03,5,2,3,4.07,4
G-77,Team 04,5,2,3,4.09,5
G-77,Team 05,5,2,3,4.08,5
G-77,Team 06,5,2,3,4.04,5
G-77,Team 07,5,2,3,4.14,5
G-77,Team 08,5,2,3,4.12,5
G-77,Team 09,5,2,3,4.19,4
G-77,Team 10,5,2,3,3.98,5

Overall Statistics for G-77
Total Students,50
Total Males,20
Total Females,30
Average GPA,4.09
Min GPA,3.98
Max GPA,4.19
Average GPA Deviation,0.040

G-78,Team 01,5,3,2,4.12,5
G-78,Team 02,5,3,2,4.10,5
G-78,Team 03,5,2,3,4.11,5
G-78,Team 04,5,2,3,4.03,5
G-78,Team 05,5,2,3,4.06,5
G-78,Team 06,5,2,3,3.99,4
G-78,Team 07,5,2,3,4.02,5
G-78,Team 08,5,2,3,4.07,5
G-78,Team 09,5,2,3,4.08,5
G-78,Team 10,5,2,3,4.11,5

Overall Statistics for G-78
Total Students,50
Total Males,22
Total Females,28
Average GPA,4.07
Min GPA,3.99
Max GPA,4.12
Average GPA Deviation,0.035

G-79,Team 01,5,3,2,4.09,5
G-79,Team 02,5,3,2,4.11,5
G-79,Team 03,5,2,3,4.14,5
G-79,Team 04,5,2,3,4.07,5
G-79,Team 05,5,2,3,4.11,4
G-79,Team 06,5,2,3,4.08,4
G-79,Team 07,5,2,3,4.07,5
G-79,Team 08,5,2,3,4.12,5
G-79,Team 09,5,2,3,4.09,5
G-79,Team 10,5,2,3,4.10,5

Overall Statistics for G-79
Total Students,50
Total Males,22
Total Females,28
Average GPA,4.10
Min GPA,4.07
Max GPA,4.14
Average GPA Deviation,0.018

G-80,Team 01,5,3,2,4.16,5
G-80,Team 02,5,3,2,4.19,5
G-80,Team 03,5,3,2,4.11,5
G-80,Team 04,5,3,2,4.14,5
G-80,Team 05,5,3,2,4.05,4
G-80,Team 06,5,3,2,4.07,4
G-80,Team 07,5,3,2,4.16,5
G-80,Team 08,5,3,2,3.99,5
G-80,Team 09,5,2,3,4.14,5
G-80,Team 10,5,2,3,4.00,5

Overall Statistics for G-80
Total Students,50
Total Males,28
Total Females,22
Average GPA,4.10
Min GPA,3.99
Max GPA,4.19
Average GPA Deviation,0.058

G-81,Team 01,5,3,2,4.10,5
G-81,Team 02,5,2,3,4.13,5
G-81,Team 03,5,2,3,4.10,5
G-81,Team 04,5,2,3,4.04,5
G-81,Team 05,5,2,3,4.03,5
G-81,Team 06,5,2,3,4.10,5
G-81,Team 07,5,2,3,4.11,3
G-81,Team 08,5,2,3,4.14,4
G-81,Team 09,5,2,3,4.17,5
G-81,Team 10,5,2,3,4.07,5

Overall Statistics for G-81
Total Students,50
Total Males,21
Total Females,29
Average GPA,4.10
Min GPA,4.03
Max GPA,4.17
Average GPA Deviation,0.031

G-82,Team 01,5,3,2,4.08,5
G-82,Team 02,5,3,2,4.11,5
G-82,Team 03,5,3,2,4.10,4
G-82,Team 04,5,3,2,4.10,5
G-82,Team 05,5,3,2,4.05,5
G-82,Team 06,5,3,2,4.06,5
G-82,Team 07,5,3,2,4.13,5
G-82,Team 08,5,3,2,4.02,5
G-82,Team 09,5,3,2,4.05,5
G-82,Team 10,5,2,3,4.03,5

Overall Statistics for G-82
Total Students,50
Total Males,29
Total Females,21
Average GPA,4.07
Min GPA,4.02
Max GPA,4.13
Average GPA Deviation,0.031

G-83,Team 01,5,3,2,4.08,5
G-83,Team 02,5,3,2,4.10,5
G-83,Team 03,5,3,2,4.10,5
G-83,Team 04,5,3,2,4.15,5
G-83,Team 05,5,3,2,4.07,5
G-83,Team 06,5,3,2,4.09,5
G-83,Team 07,5,3,2,4.14,5
G-83,Team 08,5,3,2,4.10,5
G-83,Team 09,5,3,2,4.08,5
G-83,Team 10,5,3,2,4.04,5

Overall Statistics for G-83
Total Students,50
Total Males,30
Total Females,20
Average GPA,4.10
Min GPA,4.04
Max GPA,4.15
Average GPA Deviation,0.023

G-84,Team 01,5,2,3,4.16,5
G-84,Team 02,5,2,3,4.08,5
G-84,Team 03,5,2,3,4.17,4
G-84,Team 04,5,2,3,4.12,5
G-84,Team 05,5,2,3,4.07,4
G-84,Team 06,5,2,3,4.04,5
G-84,Team 07,5,2,3,4.16,5
G-84,Team 08,5,2,3,4.18,5
G-84,Team 09,5,2,3,3.96,5
G-84,Team 10,5,2,3,4.14,5

Overall Statistics for G-84
Total Students,50
Total Males,20
Total Females,30
Average GPA,4.11
Min GPA,3.96
Max GPA,4.18
Average GPA Deviation,0.057

G-85,Team 01,5,2,3,4.14,5
G-85,Team 02,5,2,3,4.08,5
G-85,Team 03,5,2,3,4.07,5
G-85,Team 04,5,2,3,4.18,4
G-85,Team 05,5,2,3,4.17,5
G-85,Team 06,5,2,3,4.13,5
G-85,Team 07,5,2,3,4.19,5
G-85,Team 08,5,2,3,4.10,5
G-85,Team 09,5,2,3,4.10,5
G-85,Team 10,5,2,3,4.12,4

Overall Statistics for G-85
Total Students,50
Total Males,20
Total Females,30
Average GPA,4.13
Min GPA,4.07
Max GPA,4.19
Average GPA Deviation,0.032

G-86,Team 01,5,3,2,4.10,5
G-86,Team 02,5,3,2,4.09,5
G-86,Team 03,5,3,2,4.19,5
G-86,Team 04,5,2,3,4.08,4
G-86,Team 05,5,2,3,4.06,5
G-86,Team 06,5,2,3,4.14,4
G-86,Team 07,5,2,3,4.10,5
G-86,Team 08,5,2,3,4.06,5
G-86,Team 09,5,2,3,4.16,5
G-86,Team 10,5,2,3,4.13,5

Overall Statistics for G-86
Total Students,50
Total Males,23
Total Females,27
Average GPA,4.11
Min GPA,4.06
Max GPA,4.19
Average GPA Deviation,0.034

G-87,Team 01,5,3,2,4.13,4
G-87,Team 02,5,3,2,4.15,5
G-87,Team 03,5,3,2,4.08,5
G-87,Team 04,5,2,3,4.06,5
G-87,Team 05,5,2,3,4.16,5
G-87,Team 06,5,2,3,4.08,4
G-87,Team 07,5,2,3,4.06,5
G-87,Team 08,5,2,3,4.30,4
G-87,Team 09,5,2,3,4.13,5
G-87,Team 10,5,2,3,4.04,5

Overall Statistics for G-87
Total Students,50
Total Males,23
Total Females,27
Average GPA,4.12
Min GPA,4.04
Max GPA,4.30
Average GPA Deviation,0.054

G-88,Team 01,5,3,2,4.09,5
G-88,Team 02,5,3,2,4.03,5
G-88,Team 03,5,3,2,4.08,5
G-88,Team 04,5,3,2,4.05,5
G-88,Team 05,5,3,2,4.08,4
G-88,Team 06,5,3,2,4.11,3
G-88,Team 07,5,3,2,4.11,5
G-88,Team 08,5,2,3,4.07,5
G-88,Team 09,5,2,3,4.08,5
G-88,Team 10,5,2,3,4.14,5

Overall Statistics for G-88
Total Students,50
Total Males,27
Total Females,23
Average GPA,4.09
Min GPA,4.03
Max GPA,4.14
Average GPA Deviation,0.023

G-89,Team 01,5,3,2,4.00,5
G-89,Team 02,5,3,2,4.05,5
G-89,Team 03,5,3,2,4.00,5
G-89,Team 04,5,3,2,4.04,5
G-89,Team 05,5,3,2,4.09,4
G-89,Team 06,5,2,3,3.93,4
G-89,Team 07,5,2,3,4.12,5
G-89,Team 08,5,2,3,4.05,5
G-89,Team 09,5,2,3,4.23,5
G-89,Team 10,5,2,3,4.12,5

Overall Statistics for G-89
Total Students,50
Total Males,25
Total Females,25
Average GPA,4.06
Min GPA,3.93
Max GPA,4.23
Average GPA Deviation,0.060

G-90,Team 01,5,3,2,4.06,5
G-90,Team 02,5,3,2,4.08,5
G-90,Team 03,5,3,2,4.06,4
G-90,Team 04,5,2,3,4.08,4
G-90,Team 05,5,2,3,4.08,5
G-90,Team 06,5,2,3,4.04,5
G-90,Team 07,5,2,3,4.10,5
G-90,Team 08,5,2,3,4.07,5
G-90,Team 09,5,2,3,4.09,5
G-90,Team 10,5,2,3,4.10,4

Overall Statistics for G-90
Total Students,50
Total Males,23
Total Females,27
Average GPA,4.08
Min GPA,4.04
Max GPA,4.10
Average GPA Deviation,0.015

G-91,Team 01,5,3,2,4.00,5
G-91,Team 02,5,3,2,4.10,4
G-91,Team 03,5,3,2,4.12,5
G-91,Team 04,5,3,2,4.11,5
G-91,Team 05,5,3,2,4.12,5
G-91,Team 06,5,3,2,4.10,5
G-91,Team 07,5,2,3,4.13,5
G-91,Team 08,5,2,3,4.11,5
G-91,Team 09,5,2,3,4.04,5
G-91,Team 10,5,2,3,4.03,5

Overall Statistics for G-91
Total Students,50
Total Males,26
Total Females,24
Average GPA,4.08
Min GPA,4.00
Max GPA,4.13
Average GPA Deviation,0.037

G-92,Team 01,5,3,2,4.03,5
G-92,Team 02,5,3,2,4.07,5
G-92,Team 03,5,3,2,4.08,5
G-92,Team 04,5,3,2,4.09,4
G-92,Team 05,5,3,2,4.11,5
G-92,Team 06,5,3,2,4.12,5
G-92,Team 07,5,2,3,4.08,5
G-92,Team 08,5,2,3,4.13,5
G-92,Team 09,5,2,3,4.17,5
G-92,Team 10,5,2,3,4.12,5

Overall Statistics for G-92
Total Students,50
Total Males,26
Total Females,24
Average GPA,4.10
Min GPA,4.03
Max GPA,4.17
Average GPA Deviation,0.031

G-93,Team 01,5,3,2,4.09,5
G-93,Team 02,5,3,2,4.14,5
G-93,Team 03,5,2,3,4.14,5
G-93,Team 04,5,2,3,4.09,4
G-93,Team 05,5,2,3,4.31,5
G-93,Team 06,5,2,3,4.08,5
G-93,Team 07,5,2,3,4.02,4
G-93,Team 08,5,2,3,4.07,5
G-93,Team 09,5,2,3,4.16,5
G-93,Team 10,5,2,3,4.22,5

Overall Statistics for G-93
Total Students,50
Total Males,22
Total Females,28
Average GPA,4.13
Min GPA,4.02
Max GPA,4.31
Average GPA Deviation,0.062

G-94,Team 01,5,2,3,4.15,5
G-94,Team 02,5,2,3,4.07,4
G-94,Team 03,5,2,3,4.11,5
G-94,Team 04,5,2,3,4.10,5
G-94,Team 05,5,2,3,4.05,4
G-94,Team 06,5,2,3,4.07,4
G-94,Team 07,5,2,3,4.01,5
G-94,Team 08,5,2,3,4.10,4
G-94,Team 09,5,2,3,4.11,5
G-94,Team 10,5,1,4,4.08,5

Overall Statistics for G-94
Total Students,50
Total Males,19
Total Females,31
Average GPA,4.09
Min GPA,4.01
Max GPA,4.15
Average GPA Deviation,0.028

G-95,Team 01,5,3,2,4.08,5
G-95,Team 02,5,3,2,4.09,5
G-95,Team 03,5,3,2,4.02,5
G-95,Team 04,5,3,2,4.08,5
G-95,Team 05,5,3,2,3.96,5
G-95,Team 06,5,3,2,4.10,5
G-95,Team 07,5,3,2,4.15,5
G-95,Team 08,5,3,2,4.05,4
G-95,Team 09,5,3,2,4.07,5
G-95,Team 10,5,3,2,4.06,5

Overall Statistics for G-95
Total Students,50
Total Males,30
Total Females,20
Average GPA,4.07
Min GPA,3.96
Max GPA,4.15
Average GPA Deviation,0.035

G-96,Team 01,5,3,2,4.05,5
G-96,Team 02,5,2,3,4.04,5
G-96,Team 03,5,2,3,4.05,5
G-96,Team 04,5,2,3,4.16,5
G-96,Team 05,5,2,3,4.07,5
G-96,Team 06,5,2,3,4.12,5
G-96,Team 07,5,2,3,4.09,5
G-96,Team 08,5,2,3,4.01,5
G-96,Team 09,5,2,3,4.09,5
G-96,Team 10,5,2,3,4.05,4

Overall Statistics for G-96
Total Students,50
Total Males,21
Total Females,29
Average GPA,4.07
Min GPA,4.01
Max GPA,4.16
Average GPA Deviation,0.034

G-97,Team 01,5,2,3,4.13,4
G-97,Team 02,5,2,3,4.11,4
G-97,Team 03,5,2,3,4.07,5
G-97,Team 04,5,1,4,4.00,5
G-97,Team 05,5,1,4,4.09,5
G-97,Team 06,5,1,4,4.09,5
G-97,Team 07,5,2,3,4.12,5
